City,Country
Aliko,Albania
Allambres,Albania
Allkaj,Albania
Aranitas,Albania
Armen,Albania
Arras,Albania
Arrën,Albania
Bajram Curri,Albania
Baldushk,Albania
Ballaban,Albania
Ballagat,Albania
Balldreni i Ri,Albania
Ballsh,Albania
Barmash,Albania
Baz,Albania
Belsh,Albania
Berat,Albania
Bicaj,Albania
Bilisht,Albania
Blerim,Albania
Blinisht,Albania
Bogovë,Albania
Bradashesh,Albania
Brataj,Albania
Bubq,Albania
Bubullimë,Albania
Bujan,Albania
Bulqizë,Albania
Burrel,Albania
Bushat,Albania
Bushtricë,Albania
Buz,Albania
Buçimas,Albania
Bytyç,Albania
Bërdica e Madhe,Albania
Bërxull,Albania
Bërzhitë,Albania
Cakran,Albania
Cerava,Albania
Cudhi Zall,Albania
Cukalat,Albania
Cërrik,Albania
Dajt,Albania
Dajç,Albania
Dajç,Albania
Dardhas,Albania
Delvinë,Albania
Derjan,Albania
Dhivër,Albania
Dhërmi,Albania
Dishnicë,Albania
Divjakë,Albania
Drenovicë,Albania
Drenovë,Albania
Drenovë,Albania
Duhanas,Albania
Durrës,Albania
Dushk,Albania
Dushnik,Albania
Dërmënas,Albania
Elbasan,Albania
Ersekë,Albania
Fajzë,Albania
Farka e Madhe,Albania
Fier,Albania
Fier-Shegan,Albania
Fier-Çifçi,Albania
Fierzë,Albania
Fierzë,Albania
Finiq,Albania
Frakulla e Madhe,Albania
Frashër,Albania
Fratar,Albania
Funarë,Albania
Fushë-Arrëz,Albania
Fushë-Bulqizë,Albania
Fushë-Krujë,Albania
Fushë-Lurë,Albania
Fushë-Muhurr,Albania
Fushë-Çidhnë,Albania
Fushëkuqe,Albania
Gegë,Albania
Gjegjan,Albania
Gjepalaj,Albania
Gjerbës,Albania
Gjergjan,Albania
Gjinaj,Albania
Gjinar,Albania
Gjinkar,Albania
Gjirokastër,Albania
Gjorica e Sipërme,Albania
Gjoçaj,Albania
Golaj,Albania
Golem,Albania
Golem,Albania
Goraj,Albania
Gostimë,Albania
Gosë e Madhe,Albania
Grabjan,Albania
Gracen,Albania
Gradishtë,Albania
Gramsh,Albania
Grekan,Albania
Greshicë,Albania
Grudë-Fushë,Albania
Gruemirë,Albania
Guri i Zi,Albania
Gurra e Vogël,Albania
Hajmel,Albania
Hasan,Albania
Havaleas,Albania
Hekal,Albania
Helmas,Albania
Himarë,Albania
Hot,Albania
Hotolisht,Albania
Hoçisht,Albania
Hysgjokaj,Albania
Iballë,Albania
Ishëm,Albania
Kajan,Albania
Kakavijë,Albania
Kalenjë,Albania
Kalis,Albania
Kallmet,Albania
Kallmeti i Madh,Albania
Kamëz,Albania
Karbunara e Vogël,Albania
Kardhiq,Albania
Karinë,Albania
Kashar,Albania
Kastrat,Albania
Kastriot,Albania
Katundi i Ri,Albania
Kavajë,Albania
Kaçinar,Albania
Klos,Albania
Klos,Albania
Kodovjat,Albania
Kodër-Vorë,Albania
Kokaj,Albania
Kolonjë,Albania
Kolsh,Albania
Kolç,Albania
Kombësi,Albania
Konispol,Albania
Koplik,Albania
Korçë,Albania
Kotë,Albania
Kozarë,Albania
Krahës,Albania
Krrabë,Albania
Krujë,Albania
Krumë,Albania
Krutja e Poshtme,Albania
Kryevidh,Albania
Ksamil,Albania
Kthella e Epërme,Albania
Kukur,Albania
Kukës,Albania
Kuman,Albania
Kurbnesh,Albania
Kurjan,Albania
Kushovë,Albania
Kutalli,Albania
Kutë,Albania
Kuç,Albania
Kuçovë,Albania
Këlcyrë,Albania
Labinot-Fushë,Albania
Labinot-Mal,Albania
Lapardha Dy,Albania
Lapardha Një,Albania
Lazarat,Albania
Laç,Albania
Lekaj,Albania
Lekas,Albania
Lekbibaj,Albania
Lenias,Albania
Leshnjë,Albania
Leskovik,Albania
Levan,Albania
Lezhë,Albania
Libofshë,Albania
